,flight_number,iata,icao,arrival_airport,terminal,gate,baggage,delay,scheduled,estimated,actual,estimated_runway,actual_runway,flight_type,airline_id,airport_id
5022,4217,AC4217,ACA4217,Los Angeles International,8,86A,4,,2021-03-05T07:26:00+00:00,2021-03-05T07:26:00+00:00,2021-03-05T07:04:00+00:00,2021-03-05T07:04:00+00:00,2021-03-05T07:04:00+00:00,ARRIVAL,,194
5023,3916,Y43916,VOI3916,Los Angeles International,TBIT,,,,2021-03-05T10:29:00+00:00,2021-03-05T10:29:00+00:00,,,,ARRIVAL,,194
5024,7554,AA7554,AAL7554,Los Angeles International,6,67,,,2021-03-05T09:47:00+00:00,2021-03-05T09:47:00+00:00,2021-03-05T09:36:00+00:00,2021-03-05T09:36:00+00:00,2021-03-05T09:36:00+00:00,ARRIVAL,,194
5025,5034,AT5034,RAM5034,Los Angeles International,4,41,T4C2,6.0,2021-03-05T12:08:00+00:00,2021-03-05T12:08:00+00:00,2021-03-05T11:52:00+00:00,2021-03-05T11:52:00+00:00,2021-03-05T11:52:00+00:00,ARRIVAL,,194
5026,2793,UA2793,UAL2793,Los Angeles International,7,77,,,2021-03-05T16:05:00+00:00,2021-03-05T16:05:00+00:00,2021-03-05T14:59:00+00:00,2021-03-05T14:59:00+00:00,2021-03-05T14:59:00+00:00,ARRIVAL,,194
5027,5367,UA5367,UAL5367,Los Angeles International,8,86A,4,,2021-03-05T09:09:00+00:00,2021-03-05T09:09:00+00:00,2021-03-05T08:28:00+00:00,2021-03-05T08:28:00+00:00,2021-03-05T08:28:00+00:00,ARRIVAL,,194
5028,7541,NH7541,ANA7541,Los Angeles International,8,86A,4,,2021-03-05T09:09:00+00:00,2021-03-05T09:09:00+00:00,,,,ARRIVAL,,194
5029,6521,OZ6521,AAR6521,Los Angeles International,8,86A,4,,2021-03-05T09:09:00+00:00,2021-03-05T09:09:00+00:00,2021-03-05T08:28:00+00:00,2021-03-05T08:28:00+00:00,2021-03-05T08:28:00+00:00,ARRIVAL,,194
5030,2476,NZ2476,ANZ2476,Los Angeles International,8,86A,4,,2021-03-05T09:09:00+00:00,2021-03-05T09:09:00+00:00,2021-03-05T08:28:00+00:00,2021-03-05T08:28:00+00:00,2021-03-05T08:28:00+00:00,ARRIVAL,,194
5031,2363,AV2363,AVA2363,Los Angeles International,8,86A,4,,2021-03-05T09:09:00+00:00,2021-03-05T09:09:00+00:00,2021-03-05T08:28:00+00:00,2021-03-05T08:28:00+00:00,2021-03-05T08:28:00+00:00,ARRIVAL,,194
