,flight_number,iata,icao,arrival_airport,terminal,gate,baggage,delay,scheduled,estimated,actual,estimated_runway,actual_runway,flight_type,airline_id,airport_id
5177,3320,AS3320,ASA3320,Los Angeles International,6,65A,,,2021-03-04T08:30:00+00:00,2021-03-04T08:30:00+00:00,2021-03-04T08:23:00+00:00,2021-03-04T08:23:00+00:00,2021-03-04T08:23:00+00:00,ARRIVAL,,194
5178,3950,AM3950,AMX3950,Los Angeles International,2,24,10,,2021-03-04T09:00:00+00:00,2021-03-04T09:00:00+00:00,2021-03-04T08:37:00+00:00,2021-03-04T08:37:00+00:00,2021-03-04T08:37:00+00:00,ARRIVAL,,194
5179,5628,KL5628,KLM5628,Los Angeles International,2,24,10,,2021-03-04T09:00:00+00:00,2021-03-04T09:00:00+00:00,2021-03-04T08:37:00+00:00,2021-03-04T08:37:00+00:00,2021-03-04T08:37:00+00:00,ARRIVAL,,194
5180,4150,VS4150,VIR4150,Los Angeles International,2,24,10,,2021-03-04T09:00:00+00:00,2021-03-04T09:00:00+00:00,2021-03-04T08:37:00+00:00,2021-03-04T08:37:00+00:00,2021-03-04T08:37:00+00:00,ARRIVAL,,194
5181,7212,KE7212,KAL7212,Los Angeles International,2,24,10,,2021-03-04T09:00:00+00:00,2021-03-04T09:00:00+00:00,,,,ARRIVAL,,194
5182,3845,DL3845,DAL3845,Los Angeles International,2,24,10,,2021-03-04T09:00:00+00:00,2021-03-04T09:00:00+00:00,2021-03-04T08:37:00+00:00,2021-03-04T08:37:00+00:00,2021-03-04T08:37:00+00:00,ARRIVAL,,194
5183,9663,AA9663,AAL9663,Los Angeles International,2,,T4C1,,2021-03-04T09:30:00+00:00,2021-03-04T09:30:00+00:00,,,,ARRIVAL,,194
5184,9897,AA9897,AAL9897,Los Angeles International,5,54B,T5C6,,2021-03-04T09:30:00+00:00,2021-03-04T09:30:00+00:00,,,,ARRIVAL,,194
5185,159,WN159,SWA159,Los Angeles International,1,14,,,2021-03-04T09:20:00+00:00,2021-03-04T09:20:00+00:00,2021-03-04T09:01:00+00:00,2021-03-04T09:01:00+00:00,2021-03-04T09:01:00+00:00,ARRIVAL,,194
5186,126,NH126,ANA126,Los Angeles International,7,,,,2021-03-04T13:50:00+00:00,2021-03-04T13:50:00+00:00,2021-03-04T13:16:00+00:00,2021-03-04T13:16:00+00:00,2021-03-04T13:16:00+00:00,ARRIVAL,,194
5187,106,NH106,ANA106,Los Angeles International,TBIT,,,,2021-03-04T15:50:00+00:00,2021-03-04T15:50:00+00:00,2021-03-04T15:35:00+00:00,2021-03-04T15:35:00+00:00,2021-03-04T15:35:00+00:00,ARRIVAL,,194
5188,4219,AM4219,AMX4219,Los Angeles International,2,24,8,,2021-03-04T10:00:00+00:00,2021-03-04T10:00:00+00:00,2021-03-04T09:29:00+00:00,2021-03-04T09:29:00+00:00,2021-03-04T09:29:00+00:00,ARRIVAL,,194
5189,7459,KL7459,KLM7459,Los Angeles International,2,24,8,,2021-03-04T10:00:00+00:00,2021-03-04T10:00:00+00:00,2021-03-04T09:29:00+00:00,2021-03-04T09:29:00+00:00,2021-03-04T09:29:00+00:00,ARRIVAL,,194
5190,7664,WS7664,WJA7664,Los Angeles International,2,24,8,,2021-03-04T10:00:00+00:00,2021-03-04T10:00:00+00:00,2021-03-04T09:29:00+00:00,2021-03-04T09:29:00+00:00,2021-03-04T09:29:00+00:00,ARRIVAL,,194
5191,9165,CI9165,CAL9165,Los Angeles International,2,24,8,,2021-03-04T10:00:00+00:00,2021-03-04T10:00:00+00:00,,,,ARRIVAL,,194
5192,4440,DL4440,DAL4440,Los Angeles International,2,24,8,,2021-03-04T10:00:00+00:00,2021-03-04T10:00:00+00:00,2021-03-04T09:29:00+00:00,2021-03-04T09:29:00+00:00,2021-03-04T09:29:00+00:00,ARRIVAL,,194
5193,2471,AA2471,AAL2471,Los Angeles International,4,42A,T4C1,,2021-03-04T13:31:00+00:00,2021-03-04T13:31:00+00:00,2021-03-04T13:16:00+00:00,2021-03-04T13:16:00+00:00,2021-03-04T13:16:00+00:00,ARRIVAL,,194
5194,7735,DL7735,DAL7735,Los Angeles International,TBIT,,,,2021-03-04T19:35:00+00:00,2021-03-04T19:35:00+00:00,2021-03-04T19:09:00+00:00,2021-03-04T19:09:00+00:00,2021-03-04T19:09:00+00:00,ARRIVAL,,194
5195,8,CI8,CAL8,Los Angeles International,TBIT,,,,2021-03-04T19:35:00+00:00,2021-03-04T19:35:00+00:00,2021-03-04T19:09:00+00:00,2021-03-04T19:09:00+00:00,2021-03-04T19:09:00+00:00,ARRIVAL,,194
5196,3900,Y43900,VOI3900,Los Angeles International,TBIT,,,,2021-03-04T11:04:00+00:00,2021-03-04T11:04:00+00:00,,,,ARRIVAL,,194
5197,3989,WN3989,SWA3989,Los Angeles International,1,13,,,2021-03-04T12:20:00+00:00,2021-03-04T12:20:00+00:00,2021-03-04T12:04:00+00:00,2021-03-04T12:04:00+00:00,2021-03-04T12:04:00+00:00,ARRIVAL,,194
5198,2041,Y42041,VOI2041,Los Angeles International,5,51B,A,,2021-03-04T10:11:00+00:00,2021-03-04T10:11:00+00:00,,,,ARRIVAL,,194
5199,403,F9403,FFT403,Los Angeles International,5,51B,A,,2021-03-04T10:11:00+00:00,2021-03-04T10:11:00+00:00,,,,ARRIVAL,,194
5200,4219,AM4219,AMX4219,Los Angeles International,2,24,,,2021-03-03T10:00:00+00:00,2021-03-03T10:00:00+00:00,2021-03-03T09:30:00+00:00,2021-03-03T09:30:00+00:00,2021-03-03T09:30:00+00:00,ARRIVAL,,194
5201,7459,KL7459,KLM7459,Los Angeles International,2,24,,,2021-03-03T10:00:00+00:00,2021-03-03T10:00:00+00:00,2021-03-03T09:30:00+00:00,2021-03-03T09:30:00+00:00,2021-03-03T09:30:00+00:00,ARRIVAL,,194
5202,3443,VS3443,VIR3443,Los Angeles International,2,24,,,2021-03-03T10:00:00+00:00,2021-03-03T10:00:00+00:00,2021-03-03T09:30:00+00:00,2021-03-03T09:30:00+00:00,2021-03-03T09:30:00+00:00,ARRIVAL,,194
5203,7664,WS7664,WJA7664,Los Angeles International,2,24,,,2021-03-03T10:00:00+00:00,2021-03-03T10:00:00+00:00,2021-03-03T09:30:00+00:00,2021-03-03T09:30:00+00:00,2021-03-03T09:30:00+00:00,ARRIVAL,,194
5204,4440,DL4440,DAL4440,Los Angeles International,2,24,,,2021-03-03T10:00:00+00:00,2021-03-03T10:00:00+00:00,2021-03-03T09:30:00+00:00,2021-03-03T09:30:00+00:00,2021-03-03T09:30:00+00:00,ARRIVAL,,194
5205,7735,DL7735,DAL7735,Los Angeles International,B,,,,2021-03-03T19:35:00+00:00,2021-03-03T19:35:00+00:00,,,,ARRIVAL,,194
5206,8,CI8,CAL8,Los Angeles International,B,,,,2021-03-03T19:35:00+00:00,2021-03-03T19:35:00+00:00,,,,ARRIVAL,,194
5207,3989,WN3989,SWA3989,Los Angeles International,1,18A,,7.0,2021-03-03T12:20:00+00:00,2021-03-03T12:20:00+00:00,2021-03-03T12:27:00+00:00,2021-03-03T12:27:00+00:00,2021-03-03T12:27:00+00:00,ARRIVAL,,194
5208,422,AS422,ASA422,Los Angeles International,6,69B,,,2021-03-03T10:59:00+00:00,2021-03-03T10:59:00+00:00,2021-03-03T10:49:00+00:00,2021-03-03T10:49:00+00:00,2021-03-03T10:49:00+00:00,ARRIVAL,,194
5209,2041,Y42041,VOI2041,Los Angeles International,5,51B,A,,2021-03-03T10:11:00+00:00,2021-03-03T10:11:00+00:00,2021-03-03T09:55:00+00:00,2021-03-03T09:55:00+00:00,2021-03-03T09:55:00+00:00,ARRIVAL,,194
5210,403,F9403,FFT403,Los Angeles International,5,51B,A,,2021-03-03T10:11:00+00:00,2021-03-03T10:11:00+00:00,2021-03-03T09:55:00+00:00,2021-03-03T09:55:00+00:00,2021-03-03T09:55:00+00:00,ARRIVAL,,194
5211,4640,AS4640,ASA4640,Los Angeles International,5,54A,T5C6,,2021-03-03T11:02:00+00:00,2021-03-03T11:02:00+00:00,2021-03-03T10:12:00+00:00,2021-03-03T10:12:00+00:00,2021-03-03T10:12:00+00:00,ARRIVAL,,194
5212,3322,QF3322,QFA3322,Los Angeles International,5,54A,T5C6,,2021-03-03T11:02:00+00:00,2021-03-03T11:02:00+00:00,2021-03-03T10:12:00+00:00,2021-03-03T10:12:00+00:00,2021-03-03T10:12:00+00:00,ARRIVAL,,194
5213,2499,QR2499,QTR2499,Los Angeles International,5,54A,T5C6,,2021-03-03T11:02:00+00:00,2021-03-03T11:02:00+00:00,2021-03-03T10:12:00+00:00,2021-03-03T10:12:00+00:00,2021-03-03T10:12:00+00:00,ARRIVAL,,194
5214,3043,AA3043,AAL3043,Los Angeles International,5,54A,T5C6,,2021-03-03T11:02:00+00:00,2021-03-03T11:02:00+00:00,2021-03-03T10:12:00+00:00,2021-03-03T10:12:00+00:00,2021-03-03T10:12:00+00:00,ARRIVAL,,194
5215,326,4B326,BTQ326,Los Angeles International,6,,,,2021-03-03T08:50:00+00:00,2021-03-03T08:50:00+00:00,2021-03-03T08:14:00+00:00,2021-03-03T08:14:00+00:00,2021-03-03T08:14:00+00:00,ARRIVAL,,194
5216,6720,JL6720,JAL6720,Los Angeles International,2,,,21.0,2021-03-03T10:15:00+00:00,2021-03-03T10:15:00+00:00,2021-03-03T10:36:00+00:00,2021-03-03T10:36:00+00:00,2021-03-03T10:36:00+00:00,ARRIVAL,,194
5217,7554,AA7554,AAL7554,Los Angeles International,6,61,,3.0,2021-03-03T09:47:00+00:00,2021-03-03T09:47:00+00:00,2021-03-03T09:50:00+00:00,2021-03-03T09:50:00+00:00,2021-03-03T09:50:00+00:00,ARRIVAL,,194
5218,3138,EK3138,UAE3138,Los Angeles International,6,61,,3.0,2021-03-03T09:47:00+00:00,2021-03-03T09:47:00+00:00,2021-03-03T09:50:00+00:00,2021-03-03T09:50:00+00:00,2021-03-03T09:50:00+00:00,ARRIVAL,,194
5219,1494,AS1494,ASA1494,Los Angeles International,6,61,,3.0,2021-03-03T09:47:00+00:00,2021-03-03T09:47:00+00:00,2021-03-03T09:50:00+00:00,2021-03-03T09:50:00+00:00,2021-03-03T09:50:00+00:00,ARRIVAL,,194
5220,2467,AF2467,AFR2467,Los Angeles International,2,24,,,2021-03-03T10:23:00+00:00,2021-03-03T10:23:00+00:00,2021-03-03T10:19:00+00:00,2021-03-03T10:19:00+00:00,2021-03-03T10:19:00+00:00,ARRIVAL,,194
5221,3516,AM3516,AMX3516,Los Angeles International,2,24,,,2021-03-03T10:23:00+00:00,2021-03-03T10:23:00+00:00,2021-03-03T10:19:00+00:00,2021-03-03T10:19:00+00:00,2021-03-03T10:19:00+00:00,ARRIVAL,,194
5222,5285,AZ5285,AZA5285,Los Angeles International,2,24,,,2021-03-03T10:23:00+00:00,2021-03-03T10:23:00+00:00,2021-03-03T10:19:00+00:00,2021-03-03T10:19:00+00:00,2021-03-03T10:19:00+00:00,ARRIVAL,,194
5223,8597,KL8597,KLM8597,Los Angeles International,2,24,,,2021-03-03T10:23:00+00:00,2021-03-03T10:23:00+00:00,2021-03-03T10:19:00+00:00,2021-03-03T10:19:00+00:00,2021-03-03T10:19:00+00:00,ARRIVAL,,194
5224,2078,VS2078,VIR2078,Los Angeles International,2,24,,,2021-03-03T10:23:00+00:00,2021-03-03T10:23:00+00:00,2021-03-03T10:19:00+00:00,2021-03-03T10:19:00+00:00,2021-03-03T10:19:00+00:00,ARRIVAL,,194
5225,3664,DL3664,DAL3664,Los Angeles International,2,24,,,2021-03-03T10:23:00+00:00,2021-03-03T10:23:00+00:00,2021-03-03T10:19:00+00:00,2021-03-03T10:19:00+00:00,2021-03-03T10:19:00+00:00,ARRIVAL,,194
5226,269,BA269,BAW269,Los Angeles International,TBIT,,,,2021-03-03T18:50:00+00:00,2021-03-03T18:50:00+00:00,,,,ARRIVAL,,194
5227,6702,AM6702,AMX6702,Los Angeles International,TBIT,,,,2021-03-03T08:30:00+00:00,2021-03-03T08:30:00+00:00,2021-03-03T08:20:00+00:00,2021-03-03T08:20:00+00:00,2021-03-03T08:20:00+00:00,ARRIVAL,,194
5228,8428,LA8428,LAN8428,Los Angeles International,TBIT,,,,2021-03-03T08:30:00+00:00,2021-03-03T08:30:00+00:00,2021-03-03T08:20:00+00:00,2021-03-03T08:20:00+00:00,2021-03-03T08:20:00+00:00,ARRIVAL,,194
5229,9044,DL9044,DAL9044,Los Angeles International,TBIT,,,,2021-03-03T08:30:00+00:00,2021-03-03T08:30:00+00:00,2021-03-03T08:20:00+00:00,2021-03-03T08:20:00+00:00,2021-03-03T08:20:00+00:00,ARRIVAL,,194
5230,17,KE17,KAL17,Los Angeles International,TBIT,,,,2021-03-03T08:30:00+00:00,2021-03-03T08:30:00+00:00,2021-03-03T08:20:00+00:00,2021-03-03T08:20:00+00:00,2021-03-03T08:20:00+00:00,ARRIVAL,,194
5231,6737,TG6737,THA6737,Los Angeles International,TBIT,,,,2021-03-03T08:40:00+00:00,2021-03-03T08:40:00+00:00,2021-03-03T08:25:00+00:00,2021-03-03T08:25:00+00:00,2021-03-03T08:25:00+00:00,ARRIVAL,,194
5232,5702,SQ5702,SIA5702,Los Angeles International,TBIT,,,,2021-03-03T08:40:00+00:00,2021-03-03T08:40:00+00:00,2021-03-03T08:25:00+00:00,2021-03-03T08:25:00+00:00,2021-03-03T08:25:00+00:00,ARRIVAL,,194
5233,8000,CM8000,CMP8000,Los Angeles International,TBIT,,,,2021-03-03T08:40:00+00:00,2021-03-03T08:40:00+00:00,2021-03-03T08:25:00+00:00,2021-03-03T08:25:00+00:00,2021-03-03T08:25:00+00:00,ARRIVAL,,194
5234,7285,UA7285,UAL7285,Los Angeles International,TBIT,,,,2021-03-03T08:40:00+00:00,2021-03-03T08:40:00+00:00,2021-03-03T08:25:00+00:00,2021-03-03T08:25:00+00:00,2021-03-03T08:25:00+00:00,ARRIVAL,,194
5235,202,OZ202,AAR202,Los Angeles International,TBIT,,,,2021-03-03T08:40:00+00:00,2021-03-03T08:40:00+00:00,2021-03-03T08:25:00+00:00,2021-03-03T08:25:00+00:00,2021-03-03T08:25:00+00:00,ARRIVAL,,194
5236,9135,AF9135,AFR9135,Los Angeles International,2,33,10,,2021-03-03T16:49:00+00:00,2021-03-03T16:49:00+00:00,2021-03-03T16:28:00+00:00,2021-03-03T16:28:00+00:00,2021-03-03T16:28:00+00:00,ARRIVAL,,194
5237,7250,KE7250,KAL7250,Los Angeles International,2,33,10,,2021-03-03T16:49:00+00:00,2021-03-03T16:49:00+00:00,2021-03-03T16:28:00+00:00,2021-03-03T16:28:00+00:00,2021-03-03T16:28:00+00:00,ARRIVAL,,194
5238,3536,VS3536,VIR3536,Los Angeles International,2,33,10,,2021-03-03T16:49:00+00:00,2021-03-03T16:49:00+00:00,2021-03-03T16:28:00+00:00,2021-03-03T16:28:00+00:00,2021-03-03T16:28:00+00:00,ARRIVAL,,194
5239,7667,WS7667,WJA7667,Los Angeles International,2,33,10,,2021-03-03T16:49:00+00:00,2021-03-03T16:49:00+00:00,2021-03-03T16:28:00+00:00,2021-03-03T16:28:00+00:00,2021-03-03T16:28:00+00:00,ARRIVAL,,194
5240,4493,DL4493,DAL4493,Los Angeles International,2,33,10,,2021-03-03T16:49:00+00:00,2021-03-03T16:49:00+00:00,2021-03-03T16:28:00+00:00,2021-03-03T16:28:00+00:00,2021-03-03T16:28:00+00:00,ARRIVAL,,194
5241,458,DL458,DAL458,Los Angeles International,2,23,8,,2021-03-03T21:05:00+00:00,2021-03-03T21:05:00+00:00,2021-03-03T20:38:00+00:00,2021-03-03T20:38:00+00:00,2021-03-03T20:38:00+00:00,ARRIVAL,,194
5242,1386,AS1386,ASA1386,Los Angeles International,6,65A,,,2021-03-03T16:51:00+00:00,2021-03-03T16:51:00+00:00,2021-03-03T16:28:00+00:00,2021-03-03T16:28:00+00:00,2021-03-03T16:28:00+00:00,ARRIVAL,,194
5243,6064,KE6064,KAL6064,Los Angeles International,6,65,,,2021-03-03T16:40:00+00:00,2021-03-03T16:40:00+00:00,2021-03-03T16:17:00+00:00,2021-03-03T16:17:00+00:00,2021-03-03T16:17:00+00:00,ARRIVAL,,194
5244,1413,AS1413,ASA1413,Los Angeles International,6,65,,,2021-03-03T16:40:00+00:00,2021-03-03T16:40:00+00:00,2021-03-03T16:17:00+00:00,2021-03-03T16:17:00+00:00,2021-03-03T16:17:00+00:00,ARRIVAL,,194
5245,2527,AF2527,AFR2527,Los Angeles International,2,25,10,,2021-03-03T16:43:00+00:00,2021-03-03T16:43:00+00:00,2021-03-03T16:31:00+00:00,2021-03-03T16:31:00+00:00,2021-03-03T16:31:00+00:00,ARRIVAL,,194
